 ,Label,Area,Mean,Min,Max,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,ctrl-og-mel-15000.jpg,2852,255,255,255,0.416,727260,727260,2.756,0.363,0.759
2,ctrl-og-mel-15000.jpg,13864,255,255,255,0.379,3535320,3535320,2.403,0.416,0.694
3,ctrl-og-mel-15000.jpg,2888,255,255,255,0.682,736440,736440,1.095,0.913,0.874
4,ctrl-og-mel-15000.jpg,3652,255,255,255,0.691,931260,931260,1.243,0.805,0.890
5,ctrl-og-mel-15000.jpg,2644,255,255,255,0.590,674220,674220,2.085,0.480,0.908
6,ctrl-og-mel-15000.jpg,3944,255,255,255,0.669,1005720,1005720,1.476,0.678,0.918
7,ctrl-og-mel-15000.jpg,2818,255,255,255,0.679,718590,718590,1.670,0.599,0.892
8,ctrl-og-mel-15000.jpg,4011,255,255,255,0.440,1022805,1022805,2.953,0.339,0.874
9,ctrl-og-mel-15000.jpg,3967,255,255,255,0.472,1011585,1011585,1.838,0.544,0.818
10,ctrl-og-mel-15000.jpg,4494,255,255,255,0.739,1145970,1145970,1.388,0.720,0.928
11,ctrl-og-mel-15000.jpg,3616,255,255,255,0.505,922080,922080,2.337,0.428,0.874
12,ctrl-og-mel-15000.jpg,2401,255,255,255,0.688,612255,612255,1.116,0.896,0.865
13,ctrl-og-mel-15000.jpg,3436,255,255,255,0.524,876180,876180,2.696,0.371,0.837
14,ctrl-og-mel-15000.jpg,3117,255,255,255,0.592,794835,794835,1.852,0.540,0.879
15,ctrl-og-mel-15000.jpg,2675,255,255,255,0.546,682125,682125,2.445,0.409,0.897
16,ctrl-og-mel-15000.jpg,2952,255,255,255,0.682,752760,752760,1.559,0.641,0.905
17,ctrl-og-mel-15000.jpg,3056,255,255,255,0.571,779280,779280,1.127,0.888,0.818
18,ctrl-og-mel-15000.jpg,3871,255,255,255,0.538,987105,987105,1.624,0.616,0.801
19,ctrl-og-mel-15000.jpg,2724,255,255,255,0.581,694620,694620,1.594,0.627,0.856
20,ctrl-og-mel-15000.jpg,2404,255,255,255,0.692,613020,613020,1.477,0.677,0.939
21,ctrl-og-mel-15000.jpg,3644,255,255,255,0.642,929220,929220,1.136,0.880,0.856
22,ctrl-og-mel-15000.jpg,3512,255,255,255,0.629,895560,895560,1.934,0.517,0.880
23,ctrl-og-mel-15000.jpg,4099,255,255,255,0.595,1045245,1045245,1.601,0.625,0.857
24,ctrl-og-mel-15000.jpg,4011,255,255,255,0.652,1022805,1022805,1.946,0.514,0.927
25,ctrl-og-mel-15000.jpg,4441,255,255,255,0.426,1132455,1132455,2.144,0.466,0.738
26,ctrl-og-mel-15000.jpg,4565,255,255,255,0.544,1164075,1164075,1.795,0.557,0.848
27,ctrl-og-mel-15000.jpg,3380,255,255,255,0.626,861900,861900,1.204,0.830,0.849
28,ctrl-og-mel-15000.jpg,14705,255,255,255,0.497,3749775,3749775,2.452,0.408,0.832
29,ctrl-og-mel-15000.jpg,2920,255,255,255,0.699,744600,744600,1.812,0.552,0.934
30,ctrl-og-mel-15000.jpg,5711,255,255,255,0.338,1456305,1456305,3.364,0.297,0.735
31,ctrl-og-mel-15000.jpg,7403,255,255,255,0.568,1887765,1887765,1.482,0.675,0.854
32,ctrl-og-mel-15000.jpg,4467,255,255,255,0.716,1139085,1139085,1.244,0.804,0.912
33,ctrl-og-mel-15000.jpg,4013,255,255,255,0.391,1023315,1023315,1.315,0.760,0.696
34,ctrl-og-mel-15000.jpg,3544,255,255,255,0.693,903720,903720,1.093,0.915,0.936
35,ctrl-og-mel-15000.jpg,2279,255,255,255,0.734,581145,581145,1.275,0.784,0.895
36,ctrl-og-mel-15000.jpg,3432,255,255,255,0.662,875160,875160,1.565,0.639,0.886
37,ctrl-og-mel-15000.jpg,3371,255,255,255,0.751,859605,859605,1.307,0.765,0.934
38,ctrl-og-mel-15000.jpg,2556,255,255,255,0.685,651780,651780,1.638,0.611,0.899
39,ctrl-og-mel-15000.jpg,3720,255,255,255,0.687,948600,948600,1.794,0.557,0.930
40,ctrl-og-mel-15000.jpg,4141,255,255,255,0.606,1055955,1055955,1.226,0.816,0.839
41,ctrl-og-mel-15000.jpg,5938,255,255,255,0.320,1514190,1514190,2.810,0.356,0.704
42,ctrl-og-mel-15000.jpg,3005,255,255,255,0.464,766275,766275,1.628,0.614,0.700
43,ctrl-og-mel-15000.jpg,3693,255,255,255,0.659,941715,941715,1.430,0.699,0.890
44,ctrl-og-mel-15000.jpg,4170,255,255,255,0.722,1063350,1063350,1.152,0.868,0.890
45,ctrl-og-mel-15000.jpg,3595,255,255,255,0.419,916725,916725,2.450,0.408,0.792
46,ctrl-og-mel-15000.jpg,5354,255,255,255,0.533,1365270,1365270,1.742,0.574,0.839
47,ctrl-og-mel-15000.jpg,2803,255,255,255,0.682,714765,714765,1.478,0.677,0.876
48,ctrl-og-mel-15000.jpg,2288,255,255,255,0.442,583440,583440,2.770,0.361,0.837
49,ctrl-og-mel-15000.jpg,2504,255,255,255,0.769,638520,638520,1.149,0.870,0.934
50,ctrl-og-mel-15000.jpg,3838,255,255,255,0.622,978690,978690,2.093,0.478,0.910
51,ctrl-og-mel-15000.jpg,3494,255,255,255,0.467,890970,890970,1.824,0.548,0.780
52,ctrl-og-mel-15000.jpg,6425,255,255,255,0.641,1638375,1638375,1.657,0.604,0.894
53,ctrl-og-mel-15000.jpg,3061,255,255,255,0.410,780555,780555,2.943,0.340,0.808
54,ctrl-og-mel-15000.jpg,8592,255,255,255,0.506,2190960,2190960,2.525,0.396,0.855
55,ctrl-og-mel-15000.jpg,24760,255,255,255,0.570,6313800,6313800,1.560,0.641,0.869
56,ctrl-og-mel-15000.jpg,2513,255,255,255,0.615,640815,640815,2.542,0.393,0.909
57,ctrl-og-mel-15000.jpg,2835,255,255,255,0.443,722925,722925,1.364,0.733,0.673
58,ctrl-og-mel-15000.jpg,1996,255,255,255,0.436,508980,508980,2.018,0.495,0.755
59,ctrl-og-mel-15000.jpg,3833,255,255,255,0.408,977415,977415,2.303,0.434,0.735
60,ctrl-og-mel-15000.jpg,3082,255,255,255,0.446,785910,785910,2.809,0.356,0.804
61,ctrl-og-mel-15000.jpg,2916,255,255,255,0.401,743580,743580,2.181,0.458,0.733
62,ctrl-og-mel-15000.jpg,3617,255,255,255,0.512,922335,922335,1.855,0.539,0.834
63,ctrl-og-mel-15000.jpg,4797,255,255,255,0.434,1223235,1223235,1.584,0.631,0.694
64,ctrl-og-mel-15000.jpg,8029,255,255,255,0.564,2047395,2047395,2.046,0.489,0.830
65,ctrl-og-mel-15000.jpg,2811,255,255,255,0.611,716805,716805,1.264,0.791,0.867
66,ctrl-og-mel-15000.jpg,2911,255,255,255,0.618,742305,742305,1.242,0.805,0.873
67,ctrl-og-mel-15000.jpg,9520,255,255,255,0.672,2427600,2427600,1.168,0.856,0.919
68,ctrl-og-mel-15000.jpg,2129,255,255,255,0.669,542895,542895,1.442,0.693,0.901
69,ctrl-og-mel-15000.jpg,3329,255,255,255,0.714,848895,848895,1.459,0.685,0.907
70,ctrl-og-mel-15000.jpg,2849,255,255,255,0.502,726495,726495,1.904,0.525,0.827
71,ctrl-og-mel-15000.jpg,3255,255,255,255,0.417,830025,830025,2.827,0.354,0.799
72,ctrl-og-mel-15000.jpg,4064,255,255,255,0.597,1036320,1036320,1.431,0.699,0.823
73,ctrl-og-mel-15000.jpg,3696,255,255,255,0.611,942480,942480,1.879,0.532,0.869
